source_institution,parent_title,publication_date,year,month,url,document_type,category,region,relevance_score,keywords_detected,date_donnée,ville_commune,domaine,thème,intitulé_de_l'indicateur,source,donnée_indicateur,,mission_1,production_du_rapport_de_mise_en_œuvre,n°,bet,adresses,telephones,projet,taux_d’exécution,montant_ttc_+__moe,commentaires,date,city_town,domain,theme,indicator_title,data,villes,projets,cible_indicateurs,villes_projets,livrables,adamawa,"real_estate_agents:_
________________________________________total:_66___
________________________________________valid:_24___
________________________________________expired:_42","test
test",1-,"landlord_miju_sarl

professional_card:
expired

manager:
m._mbah_shupong_michael","aurora_building_materials_company_ltd_“abm”

activity_status:
________________________________
in_activity

manager:
m._tawah_che_crecy",descriptions_et_objectifs_principaux,budget_etendue,avancées_récentes,col_1,col_2,col_3,col_4,col_5,col_6,col_7,construction(*),maintenance,total,site___ville,localisation,superficie,situation,commune_bénéficiaire,métier_urbain,nombre_de_jeune_formé,année,"first_group_holding_company

professional_card:
expired

manager:
m._dima_gabriel","anucam_educational_boobs_plc

activity_status:
________________________________
in_activity

manager:
m.folefac_vincent_anu",structures,localisations,portes,délégations,types_de_logements,t4,t5,ville,type_de_logement,surface_utile_du_logement,coût_de_vente_de_logements_(en_m²),coût_total_de_vente_d’un_logement,"africa_kom’s_&_industry_co.ltd

professional_card:
expired

manager:
m._kommegne_félicien","achaff_sa

activity_status:
________________________________
in_activity

manager:
mme_ndecham_chefon_née_happi_gisèle_flore","abomo_essomba

professional_card:
expired

manager:
m._abomo_essomba","adibime_onana

professional_card:
expired

manager:
m._adibime_onana","africa_power_corporation_“apc”_sa

activity_status:
________________________________
in_activity

manager:
m._assako_ella_emmanuel_delphin","cabinet_2npg_immo_sarl

professional_card:
expired

manager:
m._nguetsop_ndogmo_pascalin_gaston",area,department,indicator,value,historical,n°_d'ordre,région,département,indicateur,valeur,historique,adamaoua,"agents_immobiliers:_
________________________________________total:_66___
________________________________________valide:_24___
________________________________________expiré:_42",formualire_de_connexion,utilisateur:,"agence_pour_la_promotion_fonciere_et_immobiliere_du_cameroun

activity_status:
________________________________
in_activity

manager:
m.aliou_moussa","etablissement_le_matinal

professional_card:
expired

manager:
midja_essogo","etablissement_walid

activity_status:
________________________________
in_activity

manager:
m._ibrahim_bouba","immobilier_régional_du_grand_nord_sarl_«imeno_sarl»

professional_card:
valid

activity_status:
____________________________________
in_activity

manager:
m._alhadji_halidou_bello","société_civile_immobilière_teddy

activity_status:
________________________________
in_activity

manager:
m.amadou_logone","ets_nguekap

professional_card:
expired

manager:
m._nguekap_emmanuel","«les_constructions,_distributions_et_immobilières»_cdim_sarl

activity_status:
________________________________
in_activity

manager:
mme_tanegong_yatabong_cabrelle","avenir_bâtiments_et_travaux_publics_«avenir_btp»_sarl

activity_status:
________________________________
in_activity

manager:
m._ahounang_aboudem_nestor",assainissement,00
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%269,html_with_tables,land,Est,7.79,"bâtiment, développement, eau, logement, terre",01-01-14,NGAOUNDERE,Logement,Accès à l´eau,Indicateur OMD 42 A : proportion (%) des menages utilisant une source d'eau potable améliorée,INS,"92,6 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%269,html_with_tables,land,Est,7.79,"bâtiment, développement, eau, logement, terre",01-01-14,NGAOUNDERE,Logement,Accès à l´eau,Indicateur OMD 43 : proportion  de la population utilisant des infrastructures d'assainissement améliorées,INS,"75,4 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%269,html_with_tables,land,Est,7.79,"bâtiment, développement, eau, logement, terre",01-01-14,NGAOUNDERE,Logement,Accès à l´eau,Indicateur OMD 42 : proportion de la population utilisant une source d'eau potable améliorée,INS,"92,6 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%269,html_with_tables,land,Est,7.79,"bâtiment, développement, eau, logement, terre",01-01-14,YAOUNDE,Logement,Accès à l´eau,Indicateur OMD 43 A : proportion (%) des ménages avec installations sanitaires améliorées,INS,"43,9 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2615,html_with_tables,land,Est,7.79,"bâtiment, développement, eau, logement, terre",01-09-17,NKONGSAMBA 2e,Logement,Services et équipements socio collectifs,Indicateur IPIE 36 : Marché (U / 1 000 hab.),Collectivités Locales,1 / 1 000 hab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2615,html_with_tables,land,Est,7.79,"bâtiment, développement, eau, logement, terre",01-09-17,NKONGSAMBA 1er,Logement,Services et équipements socio collectifs,Indicateur IPIE 36 : Marché (U / 1 000 hab.),Collectivités Locales,3 / 1 000 hab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%266,html_with_tables,land,Est,7.75,"bâtiment, développement, eau, logement, terre",01-01-14,BERTOUA,Logement,Garantir l´égalité d´accès à la terre,"Indicateur H4 : rapport entre le prix des terrains et les revenus des ménages = rapports prix médian /revenu médian des terrains aménagés, partiellement aménagés et non aménagés (bruts)",INS,"8,9 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%266,html_with_tables,land,Est,7.75,"bâtiment, développement, eau, logement, terre",01-01-14,NGAOUNDERE,Logement,Garantir l´égalité d´accès à la terre,"Indicateur H4 : rapport entre le prix des terrains et les revenus des ménages = rapports prix médian /revenu médian des terrains aménagés, partiellement aménagés et non aménagés (bruts)",INS,"7,3 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%266,html_with_tables,land,Est,7.75,"bâtiment, développement, eau, logement, terre",01-01-14,YAOUNDE,Logement,Garantir l´égalité d´accès à la terre,"Indicateur H4 : rapport entre le prix des terrains et les revenus des ménages = rapports prix médian /revenu médian des terrains aménagés, partiellement aménagés et non aménagés (bruts)",INS,"10,8 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%266,html_with_tables,land,Est,7.75,"bâtiment, développement, eau, logement, terre",01-01-14,DOUALA,Logement,Garantir l´égalité d´accès à la terre,"Indicateur H4 : rapport entre le prix des terrains et les revenus des ménages = rapports prix médian /revenu médian des terrains aménagés, partiellement aménagés et non aménagés (bruts)",INS,"10,3 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F2%2623,html_with_tables,infrastructure,Est,7.75,"développement, eau, electricité, logement, marché",01-09-17,NKONGSAMBA 1er,Développement social et Élimination de la pauvreté,Cimetière,Indicateur C69 : Superficie totale des cimetières,Collectivités Locales,0 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F2%2623,html_with_tables,infrastructure,Est,7.75,"développement, eau, electricité, logement, marché",01-09-17,NKONGSAMBA 1er,Développement social et Élimination de la pauvreté,Cimetière,Indicateur C68 : Nombre de cimetières,Collectivités Locales,0 Cimetière(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F2%2626,html_with_tables,infrastructure,Est,7.75,"développement, eau, electricité, logement, marché",01-01-14,DOUALA,Développement social et Élimination de la pauvreté,Faim,Indicateur  OMD 8. Pourcentage d'enfants de moins de 5 ans présentant une insuffisance pondérale,INS,"6,4 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F2%2626,html_with_tables,infrastructure,Est,7.75,"développement, eau, electricité, logement, marché",01-01-14,YAOUNDE,Développement social et Élimination de la pauvreté,Faim,Indicateur  OMD 8. Pourcentage d'enfants de moins de 5 ans présentant une insuffisance pondérale,INS,"5,0 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F2%2632,html_with_tables,infrastructure,Est,7.75,"développement, eau, electricité, logement, marché",01-01-11,DOUALA,Développement social et Élimination de la pauvreté,VIH/SIDA,Indicateur OMD 25 : taux de prévalence du VIH parmi les femmes enceintes âgées de 15 à 49 ans,INS,"6,4 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F2%2632,html_with_tables,infrastructure,Est,7.75,"développement, eau, electricité, logement, marché",01-01-11,YAOUNDE,Développement social et Élimination de la pauvreté,VIH/SIDA,Indicateur OMD 25 : taux de prévalence du VIH parmi les femmes enceintes âgées de 15 à 49 ans,INS,"8,8 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-09-17,NKONGSAMBA 3e,Logement,Assainissement eaux usées,Indicateur IPIE 23 : latrines publiques (U / 1 000 hab.),Collectivités Locales,3 / 1 000 hab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-09-17,NKONGSAMBA 2e,Logement,Assainissement eaux usées,Indicateur IPIE 23 : latrines publiques (U / 1 000 hab.),Collectivités Locales,3 / 1 000 hab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-09-17,NKONGSAMBA 1er,Logement,Assainissement eaux usées,Indicateur IPIE 23 : latrines publiques (U / 1 000 hab.),Collectivités Locales,5 / 1 000 hab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-01-14,BERTOUA,Logement,Assainissement eaux usées,Indicateur X1 f : Proportion (%) des ménages selon le mode d'évacuation des eaux usées - Autre,INS,"0,5 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-01-14,BERTOUA,Logement,Assainissement eaux usées,Indicateur X1 e : Proportion (%) des ménages selon le mode d'évacuation des eaux usées - Versées dans la nature,INS,"35,4 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-01-14,BERTOUA,Logement,Assainissement eaux usées,Indicateur X1 d : Proportion (%) des ménages selon le mode d'évacuation des eaux usées - Versées dans la rivière/ruisseau,INS,"1,7 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-01-14,BERTOUA,Logement,Assainissement eaux usées,Indicateur X1 c : Proportion (%) des ménages selon le mode d'évacuation des eaux usées - Versées dans la fosse sceptique,INS,"7,3 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-01-14,BERTOUA,Logement,Assainissement eaux usées,Indicateur X1 b: Proportion (%) des ménages selon le mode d'évacuation des eaux usées - Versées dans la rigole,INS,"41,5 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-01-14,BERTOUA,Logement,Assainissement eaux usées,Indicateur X1 a: Proportion (%) des ménages selon le mode d'évacuation des eaux usées - Versées dans la cour/chaussée,INS,"13,7 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F1%2613,html_with_tables,land,Est,7.71,"bâtiment, développement, eau, logement, terre",01-01-14,NGAOUNDERE,Logement,Assainissement eaux usées,Indicateur X1 f : Proportion (%) des ménages selon le mode d'évacuation des eaux usées - Autre,INS,"3,9 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,BASE DE DONNEES URBAINE DU CAMEROUN,,,,https://www.minhdu.gov.cm/observatoiresf/web/fr/indicateurstheme%3F2%2625,html_with_tables,infrastructure,Est,7.71,"développement, eau, electricité, logement, marché",01-01-14,BERTOUA,Développement social et Élimination de la pauvreté,Transport urbain,Indicateur X2 : Part (%) dans la dépense totale de transport,INS,1 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
